Link,node_from,node_to,capacity,scenario
relation/5487095,DK0 0,DK1 0,600.0,
relation/17631956,ES0 0,ES2 0,10000.0,
relation/6914309,GB4 0,GB3 0,500.0,
relation/8185664,IT0 0,GR0 0,500.0,
relation/8185487,GB3 0,BE0 0,1000.0,
relation/8193755,BE0 0,DE0 0,1000.0,
relation/2505320,DK1 0,DE0 0,600.0,
relation/3918230,DE0 0,SE1 0,600.0,
relation/8185420,DK0 0,NL0 0,700.0,
relation/9965201,NL0 0,NO1 0,700.0,
relation/16213216,DE0 0,NO1 0,1400.0,
relation/3391931,DK0 0,NO1 0,940.0,
relation/8184629,DK0 0,SE1 0,680.0,
relation/8184632,DK0 0,NO1 0,700.0,
relation/15781671,GB3 0,DK0 0,1400.0,
relation/6886400,EE0 0,FI1 0,650.0,
relation/8184630,EE0 0,FI1 0,350.0,
relation/9934065,FR0 0,ES0 0,1000.0,
relation/9934066,FR0 0,ES0 0,1000.0,
relation/3391954,FI1 0,SE1 0,800.0,
relation/8184631,SE1 0,FI1 0,500.0,
relation/2127794,GB3 0,FR0 0,2000.0,
relation/3391794,IT5 0,FR6 0,300.0,
relation/8185711,IT5 0,IT0 0,10000.0,
relation/9982798,FR6 0,IT0 0,300.0,
relation/10377412,FR0 0,GB3 0,1000.0,
relation/15772117,GB3 0,FR0 0,1000.0,
relation/8184641,GB3 0,IE4 0,500.0,
relation/13295785,NO1 0,GB3 0,1400.0,
relation/14126301,GB3 0,NL0 0,1000.0,
relation/8185767,IT0 0,ME0 0,1200.0,
relation/8185455,LT0 0,SE1 0,700.0,
relation/3392010,PL0 0,SE1 0,600.0,
B_NO1 UtSira_NO1 0,NO1 UtSira,NO1 0,2500.0,B
B_NO1 UtSira_GB3 0,NO1 UtSira,GB3 0,2500.0,B
B_NO1 SN_II_NO1 0,NO1 SN_II,NO1 0,2500.0,B
B_NO1 SN_II_GB3 0,NO1 SN_II,GB3 0,2500.0,B
